601780	AR	CLN6
608266		CDC73
606071	AD	TRPV4
115196	AD	TPM1
608908	AD	SCO2
234000	AR	F12
608716	AR	ASPM
256600	AR	PLA2G6
309520	XLR	MED12
602079	AR	FMO3
615451	AR	ARMC4
241500	AR	ALPL
603553	AR	PRF1
614678	AR	EXOSC3
608751	AD	MYL3
602066	AD	PRRT2
232800	AR	PFKM
185500	AD	ELN
251000	AR	MUT
270800	AR	CYP7B1
148050	AD	ANKRD11
115210	AD	TNNI3
216900	AR	CNGA3
174200	AD	GLI3
617799	AD	CAMK2B
307000	XLR	L1CAM
307000	XLR	L1CAM
307000	XLR	L1CAM
614212	AD	CPT2
615280		MAP2K2
270400	AR	DHCR7
114550		CASP8
114550		CTNNB1
114550		PIK3CA
114550		APC
114550		IGF2R
114550		MET
114550		PDGFRL
114550		AXIN1
114550		TP53
618430	AD	TCF20
615670	AD	LZTR1
604187	AD	KIF5A
612649		RSPH4A
249000	AR	MKS1
305100	XLR	EDA
617452	AR	OTUD6B
609260	AD	MFN2
615294	AR	DRC1
612954	AD	BAG3
613808		CCDC40
615987	AR	BBS10
615873	AD	ADNP
276300	AR	MSH2
276300	AR	MSH6
276300	AR	MLH1
276300	AR	PMS2
183900	AD	COL2A1
253290	AR	CHRNA1
253290	AR	CHRND
253290	AR	CHRNG
609254	AR	IQCB1
606593	AR	LIG4
193300	AD	VHL
193300	AD	CCND1
202010	AR	CYP11B1
600105	AR	CRB1
616871	AD	DDX41
616370	AR	ISCA2
103050	AR	ADSL
231200	AR	GP9
231200	AR	GP1BA
231200	AR	GP1BB
231200	AR	GP1BB
254800	AR	CSTB
613118	AD	SERPINC1
